periodo;data_inicio;data_fim;total_artigos;artigos_instabilidade;artigos_estabilidade;porcentagem_instabilidade;títulos_amostra;resumo_analise
2022-09-116;12/09/2022;26/09/2022;690;430;260;62.32;"STF tem cinco votos para manter suspensão do piso da enfermagem; Dólar cai para R$ 5,09 e fecha no menor valor em duas semanas; Petrobras reduz preço do gás de cozinha para distribuidoras";"Detectada instabilidade política em 430 de 690 artigos (62.3%). Principais indicadores: [""Palavra-chave 'votação' encontrada (categoria: eleições)"", 'Contexto político negativo detectado na análise qualitativa', ""Palavra-chave 'insatisfação' encontrada (categoria: protestos)""]"
2022-09-117;27/09/2022;11/10/2022;831;586;245;70.52;"Presidente do TSE se reúne com representantes de centrais sindicais; Vera defende anulação do Teto de Gastos; TSE mantém indeferimento da candidatura de Witzel ao governo do Rio";"Detectada instabilidade política em 586 de 831 artigos (70.5%). Principais indicadores: [""Palavra-chave 'violência' encontrada (categoria: violencia)"", ""Palavra-chave 'urgente' encontrada (categoria: crises)"", ""Palavra-chave 'crime' encontrada (categoria: violencia)""]"
2022-10-118;12/10/2022;26/10/2022;689;433;256;62.84;"Com dois gols, Lewandowski mantém Barcelona vivo na Liga dos Campeões; Invicto, Napoli bate Ajax e avança às oitavas da Liga dos Campeões; Mundial de Judô: Beatriz Souza conquista prata, a 4ª medalha do Brasil";"Detectada instabilidade política em 433 de 689 artigos (62.8%). Principais indicadores: [""Palavra-chave 'ataque' encontrada (categoria: violencia)"", ""Palavra-chave 'golpe' encontrada (categoria: golpes)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)""]"
2022-10-119;27/10/2022;10/11/2022;744;507;237;68.15;"Zelensky diz que ""os bombardeios não nos quebrarão""; Crianças e adolescentes a espera de adoção visitam o Cristo Redentor; Atlético-MG derrota Juventude, o primeiro rebaixado da Série A";"Detectada instabilidade política em 507 de 744 artigos (68.1%). Principais indicadores: [""Palavra-chave 'ataque' encontrada (categoria: violencia)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'violência' encontrada (categoria: violencia)""]"
2022-11-120;11/11/2022;25/11/2022;610;363;247;59.51;"SUS: Saúde inclui nova apresentação de remédio para tratamento de asma; Julgamento de Flordelis ouve última testemunha; Covid-19: infectologistas defendem volta das máscaras e mais vacinação";"Detectada instabilidade política em 363 de 610 artigos (59.5%). Principais indicadores: [""Palavra-chave 'mudança' encontrada (categoria: mudanças)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", 'Contexto político negativo detectado na análise qualitativa']"
2022-11-121;26/11/2022;10/12/2022;619;375;244;60.58;"Clássico entre Alemanha e Espanha é o destaque de domingo; ES: morre quarta vítima de ataques a escolas de Aracruz; Mbappé decide contra Dinamarca e França é a 1ª classificada na Copa";"Detectada instabilidade política em 375 de 619 artigos (60.6%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)""]"
2022-12-122;11/12/2022;25/12/2022;612;376;236;61.44;"Polícia Rodoviária Federal apreende 501 papelotes de cocaína na BR-381; Ataques da Ucrânia atingem Melitopol; lado russo diz que dois morreram; Mineira assassinada há 40 anos é beatificada pela Igreja Católica";"Detectada instabilidade política em 376 de 612 artigos (61.4%). Principais indicadores: [""Palavra-chave 'crime' encontrada (categoria: violencia)"", ""Palavra-chave 'crime' encontrada (categoria: violencia)"", ""Palavra-chave 'golpe' encontrada (categoria: golpes)""]"
2022-12-123;26/12/2022;09/01/2023;706;418;288;59.21;"Natal de 2022 teve queda de 65% no número de acidentes graves, diz PRF; Ibovespa fecha em queda de 0,87% em sessão com baixa liquidez; Chuvas já causaram 13 mortes em Minas e bombeiros buscam desaparecido";"Detectada instabilidade política em 418 de 706 artigos (59.2%). Principais indicadores: [""Palavra-chave 'violência' encontrada (categoria: violencia)"", ""Palavra-chave 'movimento' encontrada (categoria: protestos)"", ""Palavra-chave 'emergência' encontrada (categoria: crises)""]"
2023-01-124;10/01/2023;24/01/2023;702;437;265;62.25;"Rio: Favela da Rocinha registra quatro feminicídios em 12 dias; Ex-comandante da PM do DF é preso após determinação de Moraes; STF delega audiências de custódia de presos em atos terroristas";"Detectada instabilidade política em 437 de 702 artigos (62.3%). Principais indicadores: [""Palavra-chave 'golpe' encontrada (categoria: golpes)"", ""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'crime' encontrada (categoria: violencia)""]"
2023-01-125;25/01/2023;08/02/2023;729;518;211;71.06;"Ativistas se reúnem na Marcha do Fórum Social Mundial em Porto Alegre; Yanomami: PF vai investigar crime de genocídio, diz ministro; Polícia Legislativa pede reforço policial para posse de senadores";"Detectada instabilidade política em 518 de 729 artigos (71.1%). Principais indicadores: [""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'legislativo' encontrada (categoria: eleições)""]"
2023-02-126;09/02/2023;23/02/2023;710;452;258;63.66;"Setor de franquias cresce 14,3% com faturamento de R$ 211,4 bi em 2022; Credores da Americanas têm 15 dias para contestar créditos; Número de mortos por terremoto na Turquia e Síria passa de 20 mil";"Detectada instabilidade política em 452 de 710 artigos (63.7%). Principais indicadores: [""Palavra-chave 'crise' encontrada (categoria: crises)"", ""Palavra-chave 'colapso' encontrada (categoria: crises)"", ""Palavra-chave 'eleição' encontrada (categoria: eleições)""]"
2023-02-127;24/02/2023;10/03/2023;665;411;254;61.80;"Exército cumpre ordem da CGU e retira sigilo de processo de Pazuello; Bombeiros suspendem as buscas em São Sebastião por causa das chuvas; Chuvas: chega a 57 o número de mortes na tragédia de São Sebastião";"Detectada instabilidade política em 411 de 665 artigos (61.8%). Principais indicadores: [""Palavra-chave 'militar' encontrada (categoria: golpes)"", ""Palavra-chave 'movimento' encontrada (categoria: protestos)"", ""Palavra-chave 'reforma' encontrada (categoria: mudanças)""]"
2023-03-128;11/03/2023;25/03/2023;665;481;184;72.33;"Rony garante classificação do Palmeiras para as semis do Paulista; Bia Haddad estreia com vitória nas simples de Indian Wells; Gurias Coloradas batem o Real Brasília no Brasileiro Feminino";"Detectada instabilidade política em 481 de 665 artigos (72.3%). Principais indicadores: [""Palavra-chave 'confronto' encontrada (categoria: conflitos)"", ""Palavra-chave 'disputa' encontrada (categoria: conflitos)"", ""Palavra-chave 'confronto' encontrada (categoria: conflitos)""]"
